PlotNo,MowFreq,MonthLabel,Subplot,Taxon,cover,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting
BC01,regular,July,NW,Achillea millefolium,15,0,0,0,1,1,0
BC01,regular,July,NW,Agrostis capillaris,30,0,0,0,1,1,0
BC01,regular,July,NW,Bellis perennis,0.5,0,0,0,0,0,0
BC01,regular,July,NW,Carex hirta,0.5,0,0,0,0,0,0
BC01,regular,July,NW,Crepis capillaris,0.5,0,0,0,1,1,0
BC01,regular,July,NW,Festuca ovina,3,0,0,0,0,1,0
BC01,regular,July,NW,Geranium molle,0.3,1,0,0,0,0,0
BC01,regular,July,NW,Holcus lanatus,2,0,0,0,0,1,0
BC01,regular,July,NW,Hypochaeris radicata,2,0,0,0,1,1,0
BC01,regular,July,NW,Plantago lanceolata,7,0,0,0,1,1,0
BC01,regular,July,NW,Poa compressa,0.1,0,0,0,0,0,0
BC01,regular,July,NW,Robinia pseudoacacie seedling,5,1,0,0,0,0,0
BC01,regular,July,NW,Rumex acetosa,0.1,0,0,0,1,1,0
BC01,regular,July,NW,Vicia lathyroides,0.01,1,0,0,0,0,0
BC01,regular,July,SE,Agrostis capillaris,30,0,0,0,1,1,0
BC01,regular,July,SE,Carex hirta,1,0,0,0,0,0,0
BC01,regular,July,SE,Festuca rubra,15,0,0,0,0,0,0
BC01,regular,July,SE,Geranium molle,0.5,1,0,0,0,0,0
BC01,regular,July,SE,Holcus lanatus,5,0,0,0,0,1,0
BC01,regular,July,SE,Hypochaeris radicata,2,0,0,0,1,1,0
BC01,regular,July,SE,Pilosella officinarum,15,0,0,0,0,0,0
BC01,regular,July,SE,Plantago lanceolata,1,0,0,0,1,1,0
BC01,regular,July,SE,Poa compressa,2,0,0,0,0,0,0
BC01,regular,July,SE,Rumex acetosa,25,0,0,0,1,1,0
BC01,regular,July,SE,Trifolium pratensis,8,0,0,0,1,1,0
BC01,regular,July,SE,Trifolium repens,4,0,0,0,0,0,0
BC01,regular,March,NW,Achillea millefolium,5,0,0,0,0,0,0
BC01,regular,March,NW,Agrostis capillaris,25,0,0,0,0,0,0
BC01,regular,March,NW,Bellis perennis,5,0,0,0,1,0,0
BC01,regular,March,NW,Crepis capillaris,0.5,0,0,0,0,0,0
BC01,regular,March,NW,Festuca ovina,7,0,0,0,0,0,0
BC01,regular,March,NW,Geranium molle,0.3,0,0,0,0,0,0
BC01,regular,March,NW,Holcus lanatus,3,0,0,0,0,0,0
BC01,regular,March,NW,Hypochaeris radicata,0.5,0,0,0,0,0,0
BC01,regular,March,NW,Pilosella officinarum,0.2,0,0,0,0,0,0
BC01,regular,March,NW,Plantago lanceolata,5,0,0,0,0,0,0
BC01,regular,March,NW,Poa compressa,0.1,0,0,0,0,0,0
BC01,regular,March,NW,Rumex acetosa,3,0,0,0,0,0,0
BC01,regular,March,NW,Trifolium dubium,0.5,0,0,0,0,0,0
BC01,regular,March,SE,Agrostis capillaris,15,0,0,0,0,0,0
BC01,regular,March,SE,Bellis perennis,0.5,0,0,0,1,0,0
BC01,regular,March,SE,Cerastium holosteoides,0.01,0,0,0,0,0,0
BC01,regular,March,SE,Festuca rubra,15,0,0,0,0,0,0
BC01,regular,March,SE,Geranium molle,0.1,0,0,0,0,0,0
BC01,regular,March,SE,Holcus lanatus,2,0,0,0,0,0,0
BC01,regular,March,SE,Hypochaeris radicata,1,0,0,0,0,0,0
BC01,regular,March,SE,Pilosella officinarum,7,0,0,0,0,0,0
BC01,regular,March,SE,Plantago lanceolata,1,0,0,0,0,0,0
BC01,regular,March,SE,Poa compressa,0.5,0,0,0,0,0,0
BC01,regular,March,SE,Rumex acetosa,5,0,0,0,0,0,0
