PlotNo,Subplot,Location
BC01,NW,August-von-Wassermann Platz
BC01,SE,August-von-Wassermann Platz
BC02,NW,Garystr. Flächen Gelenkte Spontan
BC02,SE,Garystr. Flächen Gelenkte Spontan
BC03,NW,Hahn-Meitner-Fläche
BC03,SE,Hahn-Meitner-Fläche
BC04,NW,Hahn-Meitner-Bau
BC04,SE,Hahn-Meitner-Bau
BC05,NW,Hochschulsport
BC05,SE,Hochschulsport
BC06,NW,Volleyball
BC06,SE,Volleyball
BC07,N,Sophie's site
BC07,S,Sophie's site
BC08,NW,Senke Zierkirschenplatz
BC08,SE,Senke Zierkirschenplatz
BC09,NW,Zierkirschenplatz Randstreifen
BC09,SE,Zierkirschenplatz Randstreifen
BC10,NW,Arnimallee meadow
BC10,SE,Arnimallee meadow
BC11,NW,Durchgang Fabeckstrasse Takustrasse
BC11,SE,Durchgang Fabeckstrasse Takustrasse
BC12,NW,Sustainibility Dep.
BC12,SE,Sustainibility Dep.
BC13,NW,Profund
BC13,SE,Profund
BC14,NW,Biodidaktik
BC14,SE,Biodidaktik
BC15,NW,Blühfläche PflaPhy
BC15,SE,Blühfläche PflaPhy
BC16,NW,Vorderseite PflaPhy
BC16,SE,Vorderseite PflaPhy
BC17,N,Gartenhaus Blühfläche
BC17,S,Gartenhaus Blühfläche
BC18,NW,Gartenhaus
BC18,SE,Gartenhaus
BC19,NW,Rasen Pharmazie
BC19,SE,Rasen Pharmazie
BC20,NW,Theaterwissenschaften
BC20,SE,Theaterwissenschaften
