Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.1,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height
1,BC01,EXT,August-von-Wassermann Platz,29/03/2025,H,,,Hypericum perforatum,Hypericum perforatum,,,,,0,0.1,,,,,,,,X
2,BC01,EXT,August-von-Wassermann Platz,29/03/2025,H,,,Potentilla argentea,Potentilla argentea,,,,,0,0.1,,,,,,,,4
3,BC01,EXT,August-von-Wassermann Platz,29/03/2025,H,22.05,,Veronica arvensis,Veronica arvensis,,,,,0,0.01,,,,,,,,1
4,BC01,EXT,August-von-Wassermann Platz,29/03/2025,H,22.05,,Vicia lathyroides,Vicia lathyroides,,,,,0,0.001,,,,,,,,2
5,BC01,EXT,August-von-Wassermann Platz,29/03/2025,B,,cf,Pseudoscleropodium,Pseudoscleropodium,,,,,0,0.01,,,,,,,,2
6,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Achillea millefolium,Achillea millefolium (aggr.),,,,,5,3,,,,,,,,"3, 2, 2"
7,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Agrostis capillaris,Agrostis capillaris,,,,,25,25,,,,,,,,
8,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Bellis perennis,Bellis perennis,,,,,5,7,,,,,,,,
9,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,24.07,old: Leontodon,Crepis capillaris,Crepis capillaris,,,,,0.5,0.5,,,,,,,,X
10,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,22.05,,Festuca ovina,Festuca ovina,,,,,7,7,,,,,,,,"4, 4, 3"
11,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Geranium molle,Geranium molle,,,,,0.3,0.5,,,,,,,,
12,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Holcus lanatus,Holcus lanatus,,,,,3,3,,,,,,,,
13,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Hypochaeris radicata,Hypochaeris radicata,,,,,0.5,1,,,,,,,,
14,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Pilosella officinarum,Pilosella officinarum,,,,,0.2,2,,,,,,,,
15,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Plantago lanceolata,Plantago lanceolata,,,,,5,1,,,,,,,,X
16,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,22.05,cf,Poa compressa,Poa compressa,,,,,0.1,0.2,,,,,,,,
17,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Rumex acetosa,Rumex acetosa,,,,,3,3,,,,,,,,
18,BC01,NW,August-von-Wassermann Platz,29/03/2025,H,,,Trifolium dubium,Trifolium dubium,,,,,0.5,0.5,,,,,,,,
19,BC01,NW,August-von-Wassermann Platz,29/03/2025,B,,,Climacium dendroides,Climacium dendroides,,,,,0.01,0.01,,,,,,,,3
20,BC01,NW,August-von-Wassermann Platz,29/03/2025,B,,,Plagiomnium,Plagiomnium,,,,,0.5,0.5,,,,,,,,
21,BC01,NW,August-von-Wassermann Platz,29/03/2025,B,,,Rhytidiadelphus squarrosus,Rhytidiadelphus squarrosus,,,,,80,70,,,,,,,,
22,BC01,SE,August-von-Wassermann Platz,29/03/2025,H,,,Agrostis capillaris,Agrostis capillaris,,,,,15,,,,,,,,,"4, 4, 3"
