PlotNo,Month,Taxon,cover10m2,height,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,Vegetative
BC01,March,Hypericum perforatum,0.1,NA,0,0,0,0,0,0,1
BC01,March,Crepis capillaris,0.5,NA,0,0,0,0,0,0,1
BC01,March,Plantago lanceolata,1,NA,0,0,0,0,0,0,1
BC01,July,Festuca rubra,12,NA,0,0,0,0,0,0,1
BC02,March,Medicago sativa,1,NA,0,0,0,0,0,0,1
BC02,March,Poa pratensis,2,NA,0,0,0,0,0,0,1
BC02,March,Stellaria media,0.5,NA,0,0,0,1,0,0,0
BC02,March,Taraxacum,0.01,NA,0,0,0,0,0,0,1
BC02,May,Achillea millefolium,3,NA,0,0,0,0,0,0,1
BC02,May,Arenaria serpyllifolia,0.001,NA,0,0,0,0,1,0,0
BC02,September,Geranium molle,5,NA,0,0,0,0,0,0,1
BC03,March,Hypochaeris radicata,0.001,NA,0,0,0,0,0,0,1
BC03,May,Achillea millefolium,0.001,NA,0,0,0,0,0,0,1
BC03,May,Hypericum perforatum,0.1,NA,0,0,0,0,0,0,1
BC03,September,Arenaria serpyllifolia,0.01,NA,1,0,0,0,0,0,0
BC03,September,Hypochaeris radicata,0.1,NA,0,0,0,0,0,0,1
BC04,March,Acer,0.001,NA,1,0,0,0,0,0,0
BC04,March,Festuca ovina,5,NA,0,0,0,0,0,0,1
BC04,March,Vicia lathyroides,0.1,NA,0,0,0,0,0,0,1
BC04,May,Agrostis capillaris,0.001,NA,0,0,0,1,0,0,0
BC04,September,Anchusa officinalis,0.1,NA,0,0,0,0,0,0,1
BC05,March,Bellis perennis,0.001,NA,0,0,0,1,0,0,0
BC05,March,Cerastium glomeratum,0.001,NA,0,0,0,0,0,0,1
BC05,March,Echium vulgare,NA,NA,0,0,0,0,0,0,1
BC05,March,Rumex acetosella,0.001,NA,0,0,0,0,0,0,1
BC05,May,Acer,0.01,NA,0,0,0,0,0,0,1
BC06,March,Hypochaeris radicata,0.2,NA,0,0,0,0,0,0,1
BC06,March,Trifolium dubium,0.05,NA,0,0,0,0,0,0,1
BC06,May,Bellis perennis,0.001,NA,0,0,0,0,1,0,0
BC06,May,Cerastium holosteoides,0.001,NA,0,0,0,1,0,0,0
BC07,March,Bromus mollis,0.001,NA,0,0,0,0,0,0,1
BC07,March,Myosotis,0.001,NA,0,0,0,0,0,0,1
