Taxon,EuroMed,Disturbance.Severity,Disturbance.Frequency,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance
Asteracea,Asteracea,NA,NA,NA,NA,NA
Plantae (rosette),Plantae,NA,NA,NA,NA,NA
Poaceae,Poaceae,NA,NA,NA,NA,NA
Rosaceae,Rosaceae,NA,NA,NA,NA,NA
Acer,Acer,NA,NA,NA,NA,NA
Crataegus,Crataegus,NA,NA,NA,NA,NA
Prunus,Prunus,NA,NA,NA,NA,NA
Quercus,Quercus,NA,NA,NA,NA,NA
Ulmus,Ulmus,NA,NA,NA,NA,NA
Abies concolor,Abies concolor,NA,NA,NA,NA,NA
Carduus,Carduus,NA,NA,NA,NA,NA
Carex,Carex,NA,NA,NA,NA,NA
Corydalis,Corydalis,NA,NA,NA,NA,NA
Leontodon,Leontodon,NA,NA,NA,NA,NA
Myosotis,Myosotis,NA,NA,NA,NA,NA
Rubus,Rubus,NA,NA,NA,NA,NA
Crocus,Crocus,NA,NA,NA,NA,NA
Medicago sativa,Medicago sativa,NA,NA,NA,NA,NA
Narcissus,Narcissus,NA,NA,NA,NA,NA
Scilla siberica,Othocallis siberica,NA,NA,NA,NA,NA
Trifolium incarnatum,Trifolium incarnatum,NA,NA,NA,NA,NA
Cerastium,Cerastium,NA,NA,NA,NA,NA
Galium album,Galium album,NA,NA,NA,NA,NA
Taraxacum,Taraxacum,NA,NA,NA,NA,NA
Tragopogon,Tragopogon,NA,NA,NA,NA,NA
Verbascum,Verbascum,NA,NA,NA,NA,NA
Veronica sublobata,Veronica sublobata,NA,NA,NA,NA,NA
