PlotNo,MowFreq,Subplot,mowing_events,September,July,May,March
BC01,regular,NW,1,1,0,0,0
BC01,regular,SE,1,1,0,0,0
BC02,reduced,NW,0,0,0,0,0
BC02,reduced,SE,0,0,0,0,0
BC03,reduced,NW,2,2,1,0,0
BC03,reduced,SE,2,2,1,0,0
BC04,regular,NW,1,1,1,0,0
BC04,regular,SE,1,1,1,0,0
BC05,reduced_sown,NW,1,1,0,0,0
BC05,reduced_sown,SE,1,1,0,0,0
BC06,regular,NW,1,0,1,0,0
BC06,regular,SE,1,0,1,0,0
BC07,reduced,N,1,1,0,0,0
BC07,reduced,S,1,1,0,0,0
BC08,regular,NW,2,2,1,0,0
BC08,regular,SE,2,2,1,0,0
BC09,reduced,NW,1,1,0,0,0
BC09,reduced,SE,1,1,0,0,0
BC10,reduced_sown,NW,1,1,0,0,0
BC10,reduced_sown,SE,1,1,0,0,0
BC11,regular,NW,2,2,1,0,0
BC11,regular,SE,2,2,1,0,0
BC12,reduced,NW,2,2,1,0,0
BC12,reduced,SE,2,2,1,0,0
BC13,regular,NW,2,2,1,0,0
BC13,regular,SE,2,2,1,0,0
BC14,regular,NW,2,2,1,0,0
BC14,regular,SE,2,2,1,0,0
BC15,reduced,NW,2,2,1,0,0
BC15,reduced,SE,2,2,1,0,0
BC16,regular,NW,2,2,1,0,0
BC16,regular,SE,2,2,1,0,0
BC17,reduced_sown,N,2,2,1,0,0
BC17,reduced_sown,S,2,2,1,0,0
BC18,reduced,NW,2,2,1,0,0
BC18,reduced,SE,2,2,1,0,0
BC19,regular,NW,2,2,1,0,0
BC19,regular,SE,2,2,1,0,0
BC20,regular,NW,2,2,1,0,0
BC20,regular,SE,2,2,1,0,0
