PlotNo,Subplot,Month,Layer,Taxon,EuroMed,cover,height,Biomass,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,Vegetative,MowFreq,n_mow_events_befre_sampling,status,functional_group,lifespan_annual,lifespan_biennialOrShortLived,lifespan_perennial,raunkiaer_phanerophyte,raunkiaer_chamaephyte,raunkiaer_hemicryptophyte,raunkiaer_geophyte,raunkiaer_hydrophyte,raunkiaer_therophyte,lifeform_tree,lifeform_shrub,lifeform_semishrub,lifeform_herbPoli,lifeform_herbMono,lifeform_epiphyte,lifeform_lianaWoody,lifeform_lianaHerb,Disturbance.Severity,Disturbance.Frequency,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,Neophyte,Endangered,phen_sum,Annuals,ShortLived,Perennials,Neophytes,Endangereds
BC01,NW,March,H,Achillea millefolium,Achillea millefolium (aggr.),5,2.3333333333333335,11.666666666666668,0,0,0,0,0,0,11.666666666666668,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.54139,1.31363,0.8112,0.25085,0.32953,0,0,1,0,0,11.666666666666668,0,0
BC01,NW,March,H,Agrostis capillaris,Agrostis capillaris,25,3.6666666666666665,91.66666666666666,0,0,0,0,0,0,91.66666666666666,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52099,0.86379,0.57578,0.29897,0.2949,0,0,1,0,0,91.66666666666666,0,0
BC01,NW,March,H,Bellis perennis,Bellis perennis,5,1,5,0,0,0,5,0,0,0,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51276,1.51667,0.98959,0.46997,0.3594,0,0,1,0,0,5,0,0
BC01,NW,March,H,Crepis capillaris,Crepis capillaris,0.5,1.25,0.625,0,0,0,0,0,0,0.625,regular,0,NotEndangered,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.52833,1.63653,0.96127,0.27844,0.39266,0,0,1,0.625,0.625,0,0,0
BC01,NW,March,H,Festuca ovina,Festuca ovina,7,3.6666666666666665,25.666666666666664,0,0,0,0,0,0,25.666666666666664,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52087,0.57174,0.29247,0.27496,0.19646,0,0,1,0,0,25.666666666666664,0,0
BC01,NW,March,H,Geranium molle,Geranium molle,0.3,1,0.3,0,0,0,0,0,0,0.3,regular,0,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.62987,1.27995,0.6275,0.3036,0.42608,0,0,1,0.3,0,0,0,0
BC01,NW,March,H,Holcus lanatus,Holcus lanatus,3,6,18,0,0,0,0,0,0,18,regular,0,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.51067,1.23473,0.81709,0.28699,0.29055,0,0,1,0,0,18,0,0
BC01,NW,March,H,Hypochaeris radicata,Hypochaeris radicata,0.5,1,0.5,0,0,0,0,0,0,0.5,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.48868,1.4426,0.7278,0.33931,0.35628,0,0,1,0,0,0.5,0,0
BC01,NW,March,H,Pilosella officinarum,Pilosella officinarum,0.2,1,0.2,0,0,0,0,0,0,0.2,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.49844,0.87434,0.48166,0.30793,0.22925,0,0,1,0,0,0.2,0,0
BC01,NW,March,H,Plantago lanceolata,Plantago lanceolata,5,2.0952380952380953,10.476190476190476,0,0,0,0,0,0,10.476190476190476,regular,0,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.52518,1.61045,0.96495,0.27897,0.32911,0,0,1,0,0,10.476190476190476,0,0
