PlotNo,Subplot,MowFreq,Month,n_mow_events_befre_sampling,SR,biomass,evenness,phen_Richness,phen_evenness,FRic,FEve,FDis,Neophytes_SR_propr,Neophytes_mass_propr,Bare_Ground_Cover,Litter_Cover_Total,Litter_Cover,slope_degr,dist_tree,patch_size_m2,Biotop_richness_specific,sky_view_factor,skyview_factor_rayman_p,skyview_factor_jw1984,protected_cover_pct,green_cover_pct,impervious_pct,road_density_km_per_ha,protected_cover_pct_log,green_cover_pct_log,patch_size_m2_scaled,road_density_km_per_ha_scaled
BC01,NW,regular,March,0,13,175.25119047619046,3.953704306606415,2,1.0586861236799927,4.2230352369183475,0.1402629451653411,1.1625780553979432,0,0,1,15,15,3,19.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,SE,regular,March,0,14,202.4652380952381,5.43739957619989,2,1.004951316773664,8.426912014557706,0.2553578503390233,1.3826498667803946,0,0,5,10,10,3,23.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,NW,regular,May,0,16,1003.003,8.645976509152666,3,2.725174368873956,7.78486186248156,0.2621045736925066,1.7437328794492784,0,0,5,15,15,3,19.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,SE,regular,May,0,17,1104.3333333333333,8.060022289444355,3,2.716602781605162,12.328922175437963,0.36176013005920105,1.492302701918414,0,0,3,20,20,3,23.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,NW,regular,July,0,14,1117.3933333333332,3.580789689792607,4,2.3967336856839747,16.82920228367299,0.01857081718175107,1.9756490950717969,0.07142857142857142,0.09098556760078516,1,20,20,3,19.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,SE,regular,July,0,12,1490.75,5.631981820356416,4,2.73631536936719,3.5426681662842383,0.1511354684526711,1.7884568141767518,0,0,10,10,10,3,23.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,NW,regular,September,2,16,748.0266666666666,5.582098924991815,4,1.5109617235872994,7.78486186248156,0.1577950482623375,1.7307122414448517,0,0,1,25,25,3,19.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC01,SE,regular,September,2,17,1124.0333333333333,7.165694436674518,4,1.6858458872128343,8.426912014557708,0.2270620428923512,1.463101800100211,0,0,4,26,26,3,23.2,1209.147071,5,0.919,0.979,0.98,0.752,12.295,33.628,0.129,0.5607579925141997,2.587388024694983,0.6543990149626379,0.978665624395303
BC02,NW,reduced,March,0,23,287.0642222222222,5.080774521213318,3,1.0783849961437209,8.767095549874758,0.1976149550658316,2.4387240488947626,0.17391304347826086,0.05898796165627668,2,15,15,1,5.8,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
BC02,SE,reduced,March,0,21,335.436,3.3260489221441865,3,1.035312134080279,7.784861862481559,0.12326060585738575,2.044481160371636,0.09523809523809525,0.00101360617226535,5,15,15,1,6.1,951.6557392,6,0.795,0.907,0.91,0.193,9.603,35.244,0.145,0.17647114311577908,2.361136979943661,0.1577701982995257,1.6639457114992342
