PlotNo,MowFreq,MonthLabel,Subplot,SR,evenness,shannon,cover,biomass,neophyte
BC01,regular,July,NW,14,3.580789689792607,1.637372079247063,66.01,1117.3933333333332,1
BC01,regular,July,SE,12,5.631981820356416,1.9549230985410255,108.5,1359.5,0
BC01,regular,March,NW,13,3.9537043066064155,1.7791415422988242,55.1,164.14999999999998,0
BC01,regular,March,SE,14,5.43739957619989,1.9209960838122562,58.61,200.37,0
BC01,regular,May,NW,16,8.645976509152666,2.370931934564176,94.001,1003.003,0
BC01,regular,May,SE,17,8.060022289444355,2.30756432303409,112.5,1104.3333333333333,0
BC01,regular,September,NW,16,5.582098924991815,2.0815696057466644,89.11,748.0266666666666,0
BC01,regular,September,SE,17,7.165694436674518,2.2797632875816154,118.7,1124.0333333333333,0
BC02,reduced,July,NW,17,3.558007972576397,1.7644498129835833,83.61,4601.08,3
BC02,reduced,July,SE,16,6.658209861688839,2.1823853990306423,107.8,2277.8333333333335,1
BC02,reduced,March,NW,23,5.080774521213318,2.092479682448116,53.921,249.092,4
BC02,reduced,March,SE,21,3.3260489221441865,1.6607483100840355,59.84,334.21999999999997,2
BC02,reduced,May,NW,19,7.998977411756112,2.3972903962090824,93.6,1851.3,3
BC02,reduced,May,SE,20,7.697278394404743,2.401628762673433,112.5,1253.8333333333335,1
BC02,reduced,September,NW,20,3.064708865065998,1.737165003058446,110.13,6830.586666666667,3
BC02,reduced,September,SE,20,8.253905800362064,2.4410506342073623,125.6,2488,1
BC03,reduced,July,NW,22,7.434174028042448,2.3323233238394363,100.61,2602.476666666667,2
BC03,reduced,July,SE,17,5.085851917361261,1.9056726858649318,101.64,2610.3933333333334,2
BC03,reduced,March,NW,23,3.0346795252016,1.7463342328680753,108.52,905.8800000000001,4
BC03,reduced,March,SE,20,4.6919447776542755,2.0729315692266823,98.11,1016.9350000000001,2
BC03,reduced,May,NW,26,6.540443780566804,2.3208981960173696,138.22,4417.8150000000005,3
BC03,reduced,May,SE,18,7.961187663545745,2.3561571170882605,102.6,3093.5666666666666,2
BC03,reduced,September,NW,23,6.427801579363776,2.3529598941408367,92.8,1283.4666666666667,2
BC03,reduced,September,SE,17,7.692798785032272,2.3284417607291594,104.6,1469.3666666666668,2
BC04,regular,July,NW,25,9.835287899920809,2.517631678393315,108.14,1837.4933333333333,2
BC04,regular,July,SE,17,6.703222159412097,2.337189863347725,77,1237.3333333333335,1
BC04,regular,March,NW,19,5.573380015773767,2.038494379409333,55.52,220.98,0
BC04,regular,March,SE,25,6.486655110868793,2.2178449606879034,56.15,215.25,1
BC04,regular,May,NW,27,6.307234408081052,2.212115369166669,74.541,749.0348333333333,1
BC04,regular,May,SE,33,9.02279282940374,2.679921854530185,100.122,1278.2081666666666,1
BC04,regular,September,NW,25,8.383341090246288,2.428602430326804,97.31,1109.925,1
BC04,regular,September,SE,26,6.884039820166987,2.465454329105728,92.6,1019.0083333333333,1
BC05,reduced_sown,July,NW,22,6.049079603014454,2.294658171110892,85.7,2107.2083333333335,0
BC05,reduced_sown,July,SE,24,5.456940175111766,2.2206959118900724,107.51,2699.725,0
BC05,reduced_sown,March,NW,24,4.3380900877024695,1.8509864731752521,69.04,318.78,0
BC05,reduced_sown,March,SE,28,4.9932820505452105,2.093208427810606,80.331,370.2626666666667,0
BC05,reduced_sown,May,NW,33,9.914206880031523,2.694850859912962,123.01,2174.195,0
BC05,reduced_sown,May,SE,37,11.752489102887427,2.8395778376915173,152.01,3072.1266666666666,0
BC05,reduced_sown,September,NW,27,5.983462132576928,2.330378672581074,97.602,1692.2353333333333,0
BC05,reduced_sown,September,SE,26,7.817468472140106,2.546582021363221,116.7,2119.866666666667,0
BC06,regular,July,NW,21,5.341086018581554,2.06832079643443,99.31,648.665,0
BC06,regular,July,SE,16,5.610383626752024,2.058503275843472,96.2,601,0
BC06,regular,March,NW,23,6.854553245740719,2.290420117055288,53.24,165.70666666666665,0
BC06,regular,March,SE,18,3.737541528239203,1.8480909146028468,52.5,125.19999999999999,1
BC06,regular,May,NW,24,6.182971077093195,2.2901188458651163,84.6,787.5666666666666,1
BC06,regular,May,SE,21,6.296123279638903,2.253703996556298,70.41,850.0466666666666,0
BC06,regular,September,NW,26,8.073973016586423,2.541193516610645,111.31,891.6133333333333,1
BC06,regular,September,SE,23,6.163127671240005,2.224849262241695,130.021,930.6076666666667,0
BC07,reduced,July,N,16,4.224708279254345,1.734444831800694,118.71,2957.266666666667,2
BC07,reduced,July,S,21,4.715600299448739,2.018485228999893,121.55,2256.08,2
BC07,reduced,March,N,27,9.507363311208135,2.4993875319227072,70.62,142.18666666666667,2
BC07,reduced,March,S,25,6.062993280126879,2.0719325199748244,59.92,168.95666666666668,3
BC07,reduced,May,N,16,6.847622617151305,2.165342629461976,81.1,575.2,1
BC07,reduced,May,S,18,7.846340467617736,2.2891769477197665,66.601,371.97066666666666,2
BC07,reduced,September,N,24,8.20753089211475,2.4626079356625974,113.32,984.2616666666667,2
BC07,reduced,September,S,26,10.271536871123363,2.5489513249467155,82.8,874,3
BC08,regular,July,NW,9,3.1265212411516456,1.393259709067077,83.03,764.12,0
BC08,regular,July,SE,8,2.6379820587375122,1.1973140062308516,74.11,694.8100000000001,0
BC08,regular,March,NW,10,2.279160422591683,1.1027263004789616,58.02,300.51000000000005,0
BC08,regular,March,SE,13,1.6913677239863008,0.8267829479437794,66.64,406.71000000000004,0
BC08,regular,May,NW,9,2.372154995023055,1.1105035051581917,72.9,1413.5333333333333,0
BC08,regular,May,SE,10,3.723695770902097,1.5465947357812801,79.2,1598.4,0
BC08,regular,September,NW,13,2.849004055333917,1.3542838596732947,85.21,561.5749999999999,0
