PlotNo,Month,Subplot,SR,evenness,shannon,cover,biomass,height_mean,height_max,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting
BC01,March,NW,13,3.9537043066064155,5.9247680720593605,55.1,37.33333333333333,3,3.6666666666666665,0,0,0,0,0,0
BC01,March,SE,14,5.43739957619989,6.82775610054927,58.61,105.35333333333334,2.9166666666666665,5.333333333333333,0,0,0,0,0,0
BC01,May,NW,16,8.645976509152666,10.707366200524023,94.001,1003.003,9.583333333333334,26,0,0,0,54,15.001,0
BC01,May,SE,17,8.060022289444355,10.04991647006363,112.5,1104.3333333333333,8.313725490196079,20.666666666666668,0,0,0,54,24,0
BC01,July,NW,14,3.580789689792607,5.141639920422365,66.01,453.4266666666667,14.458333333333334,26,5.31,0,0,45.6,48.6,0
BC01,July,SE,12,5.631981820356416,7.0633758189090985,108.5,751.3333333333333,11.4,20.333333333333332,0.5,0,0,63,63,0
BC01,September,NW,16,5.582098924991815,8.017042640017852,89.11,218.71,7.388888888888889,14.333333333333334,0.51,0,0,0,0.5,0
BC01,September,SE,17,7.165694436674518,9.774366421751019,118.7,543.5,8.2,14.333333333333334,0.5,0,0,9,9.1,0
BC02,March,NW,23,5.080774521213318,8.104988063454954,53.921,13.853333333333333,3.7333333333333334,6,0,0,0,1.5,0,0
BC02,March,SE,21,3.3260489221441865,5.263247912677085,59.84,0.68,2.5,6,0,0,0,0.1,0,0
BC02,May,NW,19,7.998977411756112,10.993348369428443,93.6,1851.3,13.703703703703704,45.666666666666664,0,0,0,6,35,0
BC02,May,SE,20,7.697278394404743,11.04114514832971,112.5,1253.8333333333335,10.648148148148149,19.666666666666668,0,0,0,17,43,0
BC02,July,NW,17,3.558007972576397,5.8383592847957715,83.61,736.3333333333334,21.333333333333336,56.333333333333336,0.5,0,0,17.5,14.5,0
BC02,July,SE,16,6.658209861688839,8.867433417429131,107.8,2049.2000000000003,23.293333333333333,56.333333333333336,0.3,0,6,84,70,0
BC02,September,NW,20,3.064708865065998,5.681214345239057,110.13,6399.716666666666,25.190476190476186,102.33333333333331,0.02,0,0,62,73.5,0
BC02,September,SE,20,8.253905800362064,11.48510104623597,125.6,1049,15.023809523809524,44,1.5,0,0,8.1,71.1,0
BC03,March,NW,23,3.0346795252016,5.7335462601966425,108.52,905.8800000000001,6.115942028985507,14,0,0,0,73.3,0,0
