PlotNo,tree_cover_pct,green_cover_pct,blue_cover_pct,protected_biotopes_polygons_cover_pct,protected_biotopes_polygons_count,protected_biotopes_lines_count,protected_biotopes_points_count,protected_biotopes_count_sum,road_density_km_per_ha,parking_area_pct,impervious_pct,ulc_pct,poi_count,building_density,building_footprint_cover
BC01,15.52114111,12.295,0.637,0.752,3,0,0,3,0.129,1.382,33.628,38.039,120,562,0.156
BC02,13.63842239,9.603,0.157,0.193,4,0,0,3,0.145,1.432,35.244,42.473,109,686,0.16
BC03,13.17715232,10.666,0.201,0.201,2,0,0,2,0.151,1.305,35.787,43.188,114,552,0.156
BC04,13.12141674,10.497,0.201,0.201,2,0,0,2,0.147,1.106,35.547,42.838,121,535,0.16
BC05,10.60595647,19.463,0,4.036,8,0,0,8,0.107,2.446,35.745,40.943,123,468,0.17
BC06,10.27405804,3.273,0,0,0,0,0,0,0.113,2.629,41.41,46.267,129,446,0.224
BC07,10.61535523,3.031,0,0,0,0,0,0,0.116,2.361,41.185,45.707,126,461,0.222
BC08,11.608590360000001,2.932,0.018,0,0,0,0,0,0.118,2.073,39.168,44.357,99,447,0.218
BC09,11.93624332,3.158,0.1,0.044,1,0,0,1,0.117,1.968,38.546,44.179,101,438,0.217
BC10,12.84120718,5.332,0.32,0,0,0,0,0,0.106,2.698,39.584,46.173,131,389,0.22
BC11,13.22502548,5.36,0.32,0,0,0,0,0,0.104,2.579,39.058,46.11,119,379,0.22
BC12,13.98319756,4.619,0.32,0,0,0,0,0,0.095,2.217,37.143,45.95,96,420,0.224
BC13,16.29193179,5.89,0.32,0,0,0,0,0,0.104,0.921,35.268,45.587,72,574,0.188
BC14,22.43514271,25.729,0.32,1.191,1,0,0,1,0.08,1.685,31.073,40.145,178,355,0.161
BC15,24.03476378,38.931,0.365,2.337,2,0,0,2,0.069,1.227,29.439,34.527,238,360,0.144
BC16,22.14413038,35.599,0.129,2.354,2,0,0,2,0.077,0.944,29.759,34.293,222,379,0.141
BC17,27.12096465,30.801,0.129,2.354,2,0,0,2,0.082,0.899,31.411,34.045,249,529,0.158
BC18,26.95059842,29.482,0.129,2.354,2,0,0,2,0.083,0.824,31.701,34.011,243,555,0.161
BC19,25.68154003,24.06,0.129,2.354,2,0,0,2,0.086,0.802,32.036,34.233,199,565,0.166
BC20,24.33761771,19.832,0.129,2.354,2,0,0,2,0.094,0.974,33.459,35.017,169,649,0.177
