PlotNo,Subplot,ele,xcoord,ycoord,slope_aspe,slope_degr,mole_holes,trampling,dist_shrub,dist_tree,shrub_cov_buff20,tree_cov_buff20,dist_trail
BC01,NW,50,13.27835863,52.44965449,270,3,0,1,0,19.2,0,20,6.5
BC01,SE,50,13.27838955,52.44964343,270,3,3,1,0,23.2,0,20,7.8
BC02,NW,49.1640625,13.28042761,52.44697899,180,1,0,0,8.2,5.8,1,8,0
BC02,SE,49.06640625,13.28046433,52.44695166,180,1,0,3,11.2,6.1,1,8,0
BC03,NW,53,13.28340478,52.44783143,0,0,0,0,0,6,0,9,2.7
BC03,SE,53,13.28346706,52.44779781,0,0,0,0,0,5.2,0,9,2.1
BC04,NW,52.42578125,13.28459325,52.44819017,130,2,0,0,6.8,5.8,7,19,0
BC04,SE,52.2578125,13.28463407,52.44813812,130,2,0,0,8,6.5,7,19,0
BC05,NW,54.30078125,13.28993638,52.45823228,0,0,0,0,13.7,8.9,6,18,0
BC05,SE,54.39453125,13.28998483,52.45819439,0,0,0,0,12.2,5.7,6,18,0
BC06,NW,54.859375,13.29109208,52.45466712,160,2,3,0,5.2,6.8,16,3,9
BC06,SE,54.67578125,13.29119392,52.45461674,151,3,0,0,2.7,9.5,16,3,12
BC07,N,53.109375,13.29121185,52.45418147,305,5,0,0,0,14.6,0,1,0
BC07,S,52.984375,13.29119559,52.45414208,302,7,0,0,0,17.9,0,1,0
BC08,NW,52.6953125,13.29161863,52.45337329,0,0,0,0,0,18.1,0,3,0
BC08,SE,52.76953125,13.29166163,52.45333532,0,0,0,0,0,16.7,0,3,0
BC09,NW,53.2109375,13.29180697,52.45292435,0,0,0,0,4.6,8.2,2,22,5
BC09,SE,53.2578125,13.29182466,52.45289711,0,0,0,0,2.5,5.7,2,22,3.8
BC10,NW,56.03125,13.29436965,52.45431106,345,3,0,0,10.6,4.8,16,20,0
BC10,SE,56.1875,13.29441751,52.45427552,15,5,0,0,10.8,4.4,16,20,0
BC11,NW,56.8125,13.29457283,52.45408458,317,5,0,0,13.9,9.6,8,30,14
BC11,SE,56.83984375,13.29458884,52.45405289,314,1,0,0,10.9,6.7,8,30,12
BC12,NW,56.33203125,13.29505353,52.45322552,305,7,0,0,1.9,3.1,15,25,11.6
BC12,SE,56.28125,13.29505672,52.45319777,315,2,0,0,4.5,6,15,25,12.5
BC13,NW,54.51953125,13.29661081,52.45140958,0,0,3,0,2.3,8.3,2,48,0
BC13,SE,54.453125,13.29664609,52.45138133,0,0,3,0,5.2,6.5,2,48,0
BC14,NW,54.17578125,13.29875305,52.45443771,145,3,0,0,5.7,3.2,6,24,0
BC14,SE,54.0703125,13.29879471,52.45442044,132,8,0,0,5.8,4.3,6,24,0
BC15,NW,53.6640625,13.30223121,52.45742929,0,0,0,0,0,3.2,3,19,0
BC15,SE,53.6484375,13.30220615,52.45739367,0,0,0,0,0,6.1,3,19,0
BC16,NW,52.92578125,13.30214278,52.45813153,0,0,0,0,0,3.9,7,12,0
BC16,SE,52.9375,13.30216281,52.45811057,319,4,0,0,0,3.8,7,12,0
BC17,N,57.33203125,13.30640456,52.45827125,245,4,0,0,4.5,2.2,4,26,0
BC17,S,57.3359375,13.3063572,52.45823555,249,10,0,0,7,4,4,26,0
BC18,NW,58.09375,13.30673547,52.45830855,285,4,0,0,8.3,2.9,22,31,3
BC18,SE,58.26171875,13.30677847,52.45828265,299,2,0,0,5.2,3.5,22,31,5.7
BC19,NW,56.23046875,13.30643758,52.45899947,223,6,1,0,4.1,23,1,8,0
BC19,SE,56.3203125,13.30647228,52.45897626,316,1,3,0,1.1,23.7,1,8,0
BC20,NW,57.484375,13.30744685,52.45929049,0,0,0,0,3.8,7.3,2,25,0
BC20,SE,57.62109375,13.30746219,52.45926074,0,0,0,0,4.8,8.7,2,25,0
