PlotNo,skyview_factor_rayman,skyview_factor_rayman_p,skyview_factor_jw1984
BC01,0.919,0.979,0.98
BC02,0.795,0.907,0.91
BC03,0.9,0.978,0.979
BC04,0.851,0.943,0.945
BC05,0.83,0.932,0.934
BC06,0.974,0.997,0.998
BC07,0.882,0.956,0.957
BC08,0.971,0.999,0.999
BC09,0.819,0.906,0.908
BC10,0.793,0.843,0.843
BC11,0.841,0.95,0.952
BC12,0.805,0.938,0.941
BC13,0.81,0.888,0.889
BC14,0.861,0.959,0.961
BC15,0.843,0.924,0.925
BC16,0.744,0.84,0.842
BC17,0.703,0.863,0.866
BC18,0.814,0.93,0.932
BC19,0.64,0.746,0.747
BC20,0.784,0.913,0.916
