PlotNo,Biotop_richness_specific,Biotop_Shannon_specific,Biotop_richness_coarse,Biotop_Shannon_coarse
BC01,5,0.7858386249654539,5,0.7858386249654539
BC02,6,1.417412702807046,5,1.3289050329592953
BC03,10,1.8493923444757112,8,1.7111640119030436
BC04,8,1.4246036404438944,6,1.3221788953641922
BC05,10,1.4074829323626867,6,1.2099241545365476
BC06,7,1.5092265120336907,7,1.5092265120336907
BC07,7,1.5092074052506534,6,1.4905849865583762
BC08,4,0.8620880394239353,3,0.7429104511849529
BC09,8,1.7577916814722534,7,1.684163159839495
BC10,7,1.6453177323789137,5,1.210932833842666
BC11,7,1.306567322592332,6,1.2588517746355548
BC12,6,1.6111803495254393,5,1.4270283356103914
BC13,9,1.913115154407694,7,1.469419936280287
BC14,10,1.9172415218552246,7,1.5486434536139864
BC15,11,1.7526708589569389,7,1.4045286316057448
BC16,9,1.8933568490340305,7,1.6704692258610088
BC17,13,1.7125574986437855,8,1.5552726686206286
BC18,10,1.730765262468015,9,1.68361385544559
BC19,5,1.345941293739714,5,1.345941293739714
BC20,9,1.6481353940765133,5,1.4343124046052111
