PlotNo,xcoord,ycoord,patch_biotope_code_specififc,patch_biotope_code_general,patch_biotope_name_general,patch_biotope_area_sqm,min_dist_to_street_m,min_dist_to_water_m,min_dist_to_business_district_km_no_buffer
BC01,13.278374079999997,52.44964895,5160,5160,ornamental / sheared lawn,1209.147071,18.07665896,380.0194824,1.594655132
BC02,13.28044597,52.446965320000004,32491,3200,"ruderal pioneer, grass, and perennial vegetation",951.6557392,14.15149363,438.437467,1.458963304
BC03,13.28343592,52.447814619999996,51131,5110,fresh meadows and fresh pastures,798.5023821,41.46197428,270.2713381,1.672693929
BC04,13.284613659999998,52.44816414,51131,5110,fresh meadows and fresh pastures,1947.770695,16.07017825,195.6358432,1.758675951
BC05,13.289960599999999,52.45821333000001,51131,5110,fresh meadows and fresh pastures,624.2682999,16.08747012,659.8382094,2.03206549
BC06,13.291142989999999,52.454641929999994,5161,5160,ornamental / sheared lawn,743.4358805,41.17895267,538.0202247,1.918982362
BC07,13291191,52454282,102711,10270,landscaped open spaces (except lawns and tree-covered areas),506.2246684,52.8640098,528.0130461,1.916819049
BC08,13.291640119999999,52.4533543,5161,5160,ornamental / sheared lawn,1435.380026,49.51638095,493.4871201,1.893099087
BC09,13.29181581,52.452910730000006,5161,5160,ornamental / sheared lawn,220.4589192,96.39609765,486.294566,1.886461505
BC10,13.294393579999998,52.454293279999995,51131,5110,fresh meadows and fresh pastures,470.8491718,82.13708377,313.9265884,1.699279316
BC11,13.294580830000001,52.454068729999996,516211,5160,ornamental / sheared lawn,2049.628544,83.98802822,296.605321,1.687804141
BC12,13.295055119999999,52.45321164,51131,5110,fresh meadows and fresh pastures,593.1908566,32.45925895,263.6045466,1.663889678
BC13,13.296628449999998,52.45139544999999,516211,5160,ornamental / sheared lawn,1689.750962,25.72420161,265.3148421,1.59511356
BC14,13.298773879999997,52.45442906999999,51621,5160,ornamental / sheared lawn,712.7115454,12.46177845,81.46513554,1.401205326
BC15,13.30221867,52.45741147999999,51131,5110,fresh meadows and fresh pastures,615.5339933,15.77370807,464.2640466,1.198135368
BC16,133021875,52458203,516212,5160,ornamental / sheared lawn,414.8331526,17.44864812,394.5045182,1.223436644
BC17,13.306380870000002,52.4582534,51131,5110,fresh meadows and fresh pastures,237.3214172,40.2307625,327.1513947,0.955483634
BC18,13.306756970000002,52.4582956,51131,5110,fresh meadows and fresh pastures,714.622758,15.38421621,328.0730807,0.932890412
BC19,13.306454930000003,52.45898785999999,516212,5160,ornamental / sheared lawn,581.132051,14.90949059,248.3715529,0.978703276
BC20,13307426,52459265,51621,5160,ornamental / sheared lawn,880.6877397,9.817701917,245.23258,0.929310129
