PlotNo,MowFreq,MonthLabel,Taxon,cover,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting
BC01,regular,July,Achillea millefolium,0.01,0,0,0,1,1,0
BC01,regular,July,Agrostis capillaris,25,0,0,0,1,1,0
BC01,regular,July,Bellis perennis,0.1,0,0,0,0,0,0
BC01,regular,July,Berteroa incana,0.01,0,0,0,1,1,0
BC01,regular,July,Carex hirta,1,0,0,0,0,0,0
BC01,regular,July,Crepis capillaris,0.5,0,0,0,1,1,0
BC01,regular,July,Festuca ovina,5,0,0,0,0,1,0
BC01,regular,July,Festuca rubra,12,0,0,0,0,0,0
BC01,regular,July,Geranium molle,0.5,1,0,0,0,0,0
BC01,regular,July,Holcus lanatus,5,0,0,0,0,1,0
BC01,regular,July,Hypericum perforatum,1,0,0,0,1,0,0
BC01,regular,July,Hypochaeris radicata,2,0,0,0,1,1,0
BC01,regular,July,Pilosella officinarum,15,0,0,0,0,0,0
BC01,regular,July,Plantago lanceolata,4,0,0,0,1,1,0
BC01,regular,July,Poa compressa,2,0,0,0,0,0,0
BC01,regular,July,Potentilla argentea,0.1,0,0,0,1,1,0
BC01,regular,July,Potentilla reptans,0.1,0,0,0,0,0,0
BC01,regular,July,Robinia pseudoacacie seedling,0.01,1,0,0,0,0,0
BC01,regular,July,Rumex acetosa,10.005,0,0,0,1,1,0
BC01,regular,July,Trifolium pratensis,2,0,0,0,1,1,0
BC01,regular,July,Trifolium repens,0.8,0,0,0,0,0,0
BC01,regular,July,Vicia lathyroides,0.01,1,0,0,0,0,0
BC01,regular,March,Achillea millefolium,3,0,0,0,0,0,0
BC01,regular,March,Agrostis capillaris,25,0,0,0,0,0,0
BC01,regular,March,Bellis perennis,7,0,0,0,1,0,0
BC01,regular,March,Cerastium holosteoides,0.01,0,0,0,0,0,0
BC01,regular,March,Crepis capillaris,0.5,0,0,0,0,0,0
BC01,regular,March,Festuca ovina,7,0,0,0,0,0,0
BC01,regular,March,Festuca rubra,5,0,0,0,0,0,0
BC01,regular,March,Geranium molle,0.5,0,0,0,0,0,0
BC01,regular,March,Holcus lanatus,3,0,0,0,0,0,0
BC01,regular,March,Hypericum perforatum,0.1,0,0,0,0,0,0
BC01,regular,March,Hypochaeris radicata,1,0,0,0,0,0,0
BC01,regular,March,Pilosella officinarum,2,0,0,0,0,0,0
BC01,regular,March,Plantago lanceolata,1,0,0,0,0,0,0
BC01,regular,March,Poa compressa,0.2,0,0,0,0,0,0
BC01,regular,March,Potentilla argentea,0.1,0,0,0,0,0,0
BC01,regular,March,Rumex acetosa,3,0,0,0,0,0,0
BC01,regular,March,Trifolium dubium,0.5,0,0,0,0,0,0
BC01,regular,March,Trifolium pratensis,0.01,0,0,0,0,0,0
BC01,regular,March,Trifolium repens,0.01,0,0,0,0,0,0
BC01,regular,March,Veronica arvensis,0.01,0,0,0,0,0,0
BC01,regular,March,Vicia lathyroides,0.001,0,0,0,0,0,0
BC01,regular,May,Achillea millefolium,10,0,0,0,0,0,0
BC01,regular,May,Agrostis capillaris,17,0,0,0,1,0,0
BC01,regular,May,Arenaria serpyllifolia,0.001,0,0,0,1,0,0
BC01,regular,May,Bellis perennis,5,0,0,0,1,0,0
BC01,regular,May,Bromus mollis,3,0,0,0,0,1,0
BC01,regular,May,Carex hirta,1,0,0,0,1,0,0
BC01,regular,May,Cerastium holosteoides,0.01,0,0,0,0,0,0
BC01,regular,May,Cerastium semidecandrum,0.001,0,0,0,0,1,0
BC01,regular,May,Crepis capillaris,2,0,0,0,0,0,0
BC01,regular,May,Festuca ovina,15,0,0,0,0,1,0
BC01,regular,May,Festuca rubra,10,0,0,0,0,1,0
BC01,regular,May,Geranium molle,1,0,0,0,1,0,0
BC01,regular,May,Holcus lanatus,10,0,0,0,1,0,0
BC01,regular,May,Hypericum perforatum,1,0,0,0,0,1,0
BC01,regular,May,Hypochaeris radicata,4,0,0,0,1,0,0
BC01,regular,May,Myosotis,0.01,0,0,0,0,1,0
BC01,regular,May,Pilosella officinarum,10,0,0,0,1,0,0
BC01,regular,May,Plantago lanceolata,2,0,0,0,1,0,0
BC01,regular,May,Poa compressa,0.5,0,0,0,1,1,0
BC01,regular,May,Potentilla argentea,0.5,0,0,0,0,0,0
BC01,regular,May,Rumex acetosa,15,0,0,0,0,0,0
BC01,regular,May,Trifolium dubium,5,0,0,0,1,0,0
BC01,regular,May,Trifolium pratensis,2,0,0,0,1,0,0
