Date,Month,n,Month_corrected
01/08/2025,August,54,July
02/08/2025,August,68,July
22/07/2025,July,93,July
23/07/2025,July,137,July
24/07/2025,July,184,July
25/07/2025,July,124,July
28/07/2025,July,100,July
29/07/2025,July,78,July
30/07/2025,July,91,July
31/07/2025,July,57,July
03/04/2025,April,51,March
04/04/2025,April,91,March
05/04/2025,April,190,March
25/03/2025,March,63,March
27/03/2025,March,238,March
28/03/2025,March,251,March
29/03/2025,March,214,March
22/05/2025,May,92,May
23/05/2025,May,202,May
24/05/2025,May,196,May
26/05/2025,May,159,May
29/05/2025,May,161,May
30/05/2025,May,145,May
31/05/2025,May,182,May
01/10/2025,October,175,September
02/10/2025,October,219,September
03/10/2025,October,203,September
05/10/2025,October,167,September
26/09/2025,September,155,September
28/09/2025,September,199,September
