PlotNo,Subplot,Month,Layer,Taxon,EuroMed,cover,height,Biomass,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,Vegetative,MowFreq,n_mow_events_befre_sampling
BC01,NW,March,H,Achillea millefolium,Achillea millefolium (aggr.),5,2.3333333333333335,11.666666666666668,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Agrostis capillaris,Agrostis capillaris,25,3.6666666666666665,91.66666666666666,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Bellis perennis,Bellis perennis,5,1,5,0,0,0,1,0,0,0,regular,0
BC01,NW,March,H,Crepis capillaris,Crepis capillaris,0.5,1.25,0.625,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Festuca ovina,Festuca ovina,7,3.6666666666666665,25.666666666666664,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Geranium molle,Geranium molle,0.3,1,0.3,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Holcus lanatus,Holcus lanatus,3,6,18,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Hypochaeris radicata,Hypochaeris radicata,0.5,1,0.5,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Pilosella officinarum,Pilosella officinarum,0.2,1,0.2,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Plantago lanceolata,Plantago lanceolata,5,2.0952380952380953,10.476190476190476,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Poa compressa,Poa compressa,0.1,4,0.4,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Rumex acetosa,Rumex acetosa,3,3.3333333333333335,10,0,0,0,0,0,0,1,regular,0
BC01,NW,March,H,Trifolium dubium,Trifolium dubium,0.5,1.5,0.75,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Agrostis capillaris,Agrostis capillaris,15,3.6666666666666665,55,0,0,0,0,0,0,1,regular,0
BC01,SE,March,H,Bellis perennis,Bellis perennis,0.5,1,0.5,0,0,0,1,0,0,0,regular,0
