PlotNo,Date,Subplot,Month,Scale_m2,Veg_Total_Cover,Herb_Cover,Cryptogam_Cover,Bare_Ground_Cover,Leaves_Cover,Litter_Cover_Total,Litter_Cover_last_year_litter,Litter_Cover_litte_from_2025_mowing,Dead_Wood_Cover,Stones_Rocks_Cover,Gravel_Cover,Fine_Soil_Cover,Max_Herb_Height,Max_Cryptogam_Height,10m_Max_Cryptogam_Height,Remarks
BC01,29/03/2025,NW,March,1,95,40,80,1,0.1,15,15,NA,0,0,0,100,6,3,,
BC01,22/05/2025,NW,May,1,90,60,75,5,3,15,15,NA,1,0,0,100,40,3,,
BC01,24/07/2025,NW,July,1,90,65,90,1,10,20,20,0,0.1,0,0,100,53,3,,
BC01,02/10/2025,NW,September,1,98,75,90,1,15,25,25,0,1,0,0,100,20,4,,
BC02,29/03/2025,NW,March,1,90,40,80,2,2,15,15,NA,0,0,0,100,8,3,,
BC02,22/05/2025,NW,May,1,90,60,60,5,3,10,10,NA,0,0,0,100,53,3,,
BC02,24/07/2025,NW,July,1,95,65,85,3,1,15,15,0,0,0,0,100,115,4,,
BC02,02/10/2025,NW,September,1,95,80,85,2,3,15,15,0,0,0,0,100,127,4,,
BC03,29/03/2025,NW,March,1,99,90,40,0.5,4,7,7,NA,0,0,0,100,16,3,,
BC03,30/05/2025,NW,May,1,90,85,5,5,10,50,50,NA,0,0,0,100,55,4,,
BC03,24/07/2025,NW,July,1,98,90,40,2,1,10,10,0,0,0,0,100,60,3,,
BC03,02/10/2025,NW,September,1,85,70,60,1,5,65,15,50,0,0,0,100,33,3,,
BC04,29/03/2025,NW,March,1,95,55,80,1,1,25,25,NA,0,0,0,100,12,7,,
BC04,24/05/2025,NW,May,1,98,75,85,1,3,20,20,NA,0,0,0,100,57,5,,
BC04,24/07/2025,NW,July,1,95,80,90,2,5,15,15,0,0,0,0,100,85,5,,
BC04,02/10/2025,NW,September,1,90,80,90,3,5,15,5,10,0,0,0,100,31,7,,
BC05,28/03/2025,NW,March,1,95,60,90,1,5,30,30,NA,0,0,0,100,10,2,,
BC05,30/05/2025,NW,May,1,95,70,90,1,5,30,30,NA,0.1,0,0,100,57,3,,
BC05,23/07/2025,NW,July,1,90,60,80,5,15,35,35,0,0,0,0,100,72,2,,
BC05,28/09/2025,NW,September,1,95,80,85,1,15,35,35,0,2,0,0,100,72,4,,
BC06,27/03/2025,NW,March,1,,60,45,15,0.5,7,7,NA,0,0,0,100,9,3,,
BC06,23/05/2025,NW,May,1,80,70,40,15,3,10,10,NA,1,0,0,100,58,2,,
BC06,30/07/2025,NW,July,1,80,80,25,10,1,12,12,0,0,0,0,100,,,,
