Number,PlotNo,Subplot,Location,Date,Layer,corrected,CFs,Taxon,Euro+Med Taxon,0.01,0.03,0.10,0.32,1.00,3.16,phen,Seedling,Juvenile,FlowerBud,Flowering,Fruiting,PostFruiting,height,
4146,BC20,SE,Theaterwissenschaften,25/03/2025,,,cf,Abies concolor,Abies concolor,0,0,0,0,0.1,0.01,S,1,,,,,,4,
4209,BC20,SE,Theaterwissenschaften,26/05/2025,,,cf,Abies concolor,Abies concolor,0,0,0.5,0.1,0.01,0.001,S,1,,,,,,1,
135,BC01,NW,August-von-Wassermann Platz,02/10/2025,B,,cf,Abietinella,Abietinella,,,,,0.5,0.1,,,,,,,,2,
2250,BC11,SE,Durchgang Fabeckstrasse Takustrasse,28/03/2025,B,,cf,Abietinella,Abietinella,,,,,0.5,0.5,,,,,,,,1,
589,BC04,EXT,Hahn-Meitner-Bau,29/03/2025,,,,Acer seedling,Acer,,,,,0,0.001,S,1,,,,,,X,
688,BC04,SE,Hahn-Meitner-Bau,24/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.1,0.5,S,1,,,,,,6,
734,BC04,NW,Hahn-Meitner-Bau,24/07/2025,,,,Acer seedling,Acer,,,,,0.01,0.01,S,1,,,,,,3,
788,BC04,NW,Hahn-Meitner-Bau,02/10/2025,,,,Acer seedling,Acer,,,,,0.1,0.5,S,1,,,,,,"10, 9, 7",
817,BC04,SE,Hahn-Meitner-Bau,02/10/2025,,,,Acer seedling,Acer,,,,,0.1,,,,,,,,,"10, 11",
857,BC05,NW,Hochschulsport,28/03/2025,,,,Acer seedling,Acer,,,,,0.01,0.01,S,1,,,,,,5,
923,BC05,NW,Hochschulsport,30/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.5,0.01,,,,,,,,X,
1726,BC09,NW,Zierkirschenplatz Randstreifen,27/03/2025,,,,Acer seedling,Acer,,,,,0.01,0.01,,,,,,,,,
1746,BC09,SE,Zierkirschenplatz Randstreifen,27/03/2025,,,,Acer seedling,Acer,,,,,0.01,,S,1,,,,,,4,
1761,BC09,NW,Zierkirschenplatz Randstreifen,24/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.3,0.3,,,,,,,,,
1784,BC09,SE,Zierkirschenplatz Randstreifen,24/05/2025,,,,Acer seedling,Acer,0,0,0,0,0.5,,,,,,,,,3,
1824,BC09,SE,Zierkirschenplatz Randstreifen,30/07/2025,,,,Acer seedling,Acer,,,,,0.01,0.001,S,1,,,,,,6,
1844,BC09,NW,Zierkirschenplatz Randstreifen,03/10/2025,,,,Acer seedling,Acer,,,,,0.1,0.01,,,,,,,,5,
2384,BC12,NW,Sustainibility Dep.,28/03/2025,,,,Acer seedling,Acer,,,,,0.1,,,,,,,,,,
2407,BC12,SE,Sustainibility Dep.,28/03/2025,,,,Acer seedling,Acer,,,,,0.05,0.1,S,1,,,,,,"5, 4, 1",
2429,BC12,NW,Sustainibility Dep.,31/05/2025,,,,Acer seedling,Acer,0,0,0,0,2,,,,,,,,,,
2456,BC12,SE,Sustainibility Dep.,31/05/2025,,,,Acer seedling,Acer,0,0,0,0,5,2,S,1,,,,,,"7, 9, 6",
2482,BC12,NW,Sustainibility Dep.,25/07/2025,,,,Acer seedling,Acer,,,,,0.2,X,S,1,,,,,,,
2627,BC13,EXT,Profund,29/05/2025,,,,Acer seedling,Acer,0,0,0,0,0,0.001,S,1,,,,,,9,
2807,BC14,NW,Biodidaktik,03/04/2025,,29.05,,Acer seedling,Acer,,,,,0.001,0.001,,,,,,,,1,
