Taxon,EuroMed,status,functional_group,lifespan_annual,lifespan_biennialOrShortLived,lifespan_perennial,raunkiaer_phanerophyte,raunkiaer_chamaephyte,raunkiaer_hemicryptophyte,raunkiaer_geophyte,raunkiaer_hydrophyte,raunkiaer_therophyte,lifeform_tree,lifeform_shrub,lifeform_semishrub,lifeform_herbPoli,lifeform_herbMono,lifeform_epiphyte,lifeform_lianaWoody,lifeform_lianaHerb
Asteracea,Asteracea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plantae (rosette),Plantae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poaceae,Poaceae,NA,graminoid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosaceae,Rosaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer,Acer,NA,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Crataegus,Crataegus,NA,woody,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Prunus,Prunus,NA,woody,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Quercus,Quercus,NA,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Ulmus,Ulmus,NA,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Abies concolor,Abies concolor,Neophyte,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Castanea sativa,Castanea sativa,Neophyte,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Juglans regia,Juglans regia,Neophyte,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Robinia pseudoacacia,Robinia pseudoacacia,Neophyte,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Betula pendula,Betula pendula,NotEndangered,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Quercus robur,Quercus robur,NotEndangered,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Sorbus aucuparia,Sorbus aucuparia,NotEndangered,woody,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Arabis hirsuta agg.,Arabis hirsuta (aggr.),Endangered (2),other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Carex caryophyllea,Carex caryophyllea,Endangered (2),graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Medicago minima,Medicago minima,Endangered (2),legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Phleum phleoides,Phleum phleoides,Endangered (2),graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Veronica polita,Veronica polita,Endangered (2),other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Leontodon hispidus,Leontodon hispidus,Endangered (3),other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Malva alcea,Malva alcea,Endangered (3),other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Salvia pratensis,Salvia pratensis,Endangered (NA),other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Carduus,Carduus,NA,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Carex,Carex,NA,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Corydalis,Corydalis,NA,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Leontodon,Leontodon,NA,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Myosotis,Myosotis,NA,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Rubus,Rubus,NA,woody,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
Arrhenatherum elatius,Arrhenatherum elatius,Neophyte,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Berteroa incana,Berteroa incana,Neophyte,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Cardamine hirsuta,Cardamine hirsuta,Neophyte,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Claytonia perfoliata,Claytonia perfoliata,Neophyte,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Corydalis solida,Corydalis solida,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Crocus,Crocus,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Diplotaxis tenuifolia,Diplotaxis tenuifolia,Neophyte,other_forb,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Eragrostis minor,Eragrostis minor,Neophyte,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Erigeron annuus,Erigeron annuus,Neophyte,other_forb,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Conyza canadensis,Erigeron canadensis,Neophyte,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Galanthus nivalis,Galanthus nivalis,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Helianthus tuberosus,Helianthus tuberosus,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Medicago sativa,Medicago sativa,Neophyte,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Narcissus,Narcissus,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Oenothera biennis,Oenothera biennis,Neophyte,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Scilla siberica,Othocallis siberica,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Oxalis corniculata,Oxalis corniculata,Neophyte,other_forb,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
Scilla bifolia,Scilla bifolia,Neophyte,other_forb,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Sedum album,Sedum album,Neophyte,other_forb,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Silene coronaria,Silene coronaria,Neophyte,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Solidago canadensis,Solidago canadensis,Neophyte,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Trifolium incarnatum,Trifolium incarnatum,Neophyte,legume,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Trisetum flavescens,Trisetum flavescens,Neophyte,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Veronica persica,Veronica persica,Neophyte,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Viola odorata,Viola odorata,Neophyte,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Achillea millefolium,Achillea millefolium (aggr.),NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Aegopodium podagraria,Aegopodium podagraria,NotEndangered,other_forb,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Agrimonia eupatoria,Agrimonia eupatoria,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Agrostis capillaris,Agrostis capillaris,NotEndangered,graminoid,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Anchusa officinalis,Anchusa officinalis,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bromus sterilis,Anisantha sterilis,NotEndangered,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Arabidopsis thaliana,Arabidopsis thaliana,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Arctium tomentosum,Arctium tomentosum,NotEndangered,other_forb,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Arenaria serpyllifolia,Arenaria serpyllifolia,NotEndangered,other_forb,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Artemisia absinthium,Artemisia absinthium,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Artemisia campestris,Artemisia campestris,NotEndangered,other_forb,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Artemisia vulgaris,Artemisia vulgaris,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Astragalus glycyphyllos,Astragalus glycyphyllos,NotEndangered,legume,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bellis perennis,Bellis perennis,NotEndangered,other_forb,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Bromus mollis,Bromus hordeaceus,NotEndangered,graminoid,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Calamagrostis epigejos,Calamagrostis epigejos,NotEndangered,graminoid,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
