Driver,Df,Chi,Pr(>Chi)
Month,3,23.56544466956916,3.078112697503983e-5
MowFreq,2,0.41361874562318235,0.8131746484105566
n_mow_events_befre_sampling,1,2.786097084986693,0.09508555752460154
Litter_Cover,1,8.341833461426916,0.003874248055664215
road_density_km_per_ha,1,14.298210214951553,1.5601314596455244e-4
patch_size_m2_scaled,1,7.852163358610312,0.005075993111409799
Bare_Ground_Cover,1,1.1413238388123546,0.285372767438287
slope_degr,1,0.9276590640077984,0.33547195550742437
dist_tree,1,0.027353856184163305,0.8686370144133473
sky_view_factor,1,0.6304440340712176,0.42719248607582455
Biotop_richness_specific,1,0.21362740000751046,0.6439390202546962
log1p(green_cover_pct),1,1.9521930322725325,0.1623507265001229
